,Adduct,num_molecules,charge,adductMass,Mode,Type,Merge_add,Merge_sub
1,M,1,1,0,neutral,S,NA,NA
2,M-H2O-H,1,1,-19.01839,negative,S,NA,H3O1
3,2M-3H,2,3,-3.021828,negative,S,NA,H3
4,3M-3H,3,3,-3.021828,negative,S,NA,H3
5,M-3H,1,3,-3.021828,negative,S,NA,H3
6,2M-2H,2,2,-2.014552,negative,S,NA,H2
7,3M-2H,3,2,-2.014552,negative,S,NA,H2
8,M-2H,1,2,-2.014552,negative,S,NA,H2
9,2M-H,2,1,-1.007276,negative,S,NA,H1
10,3M-H,3,1,-1.007276,negative,S,NA,H1
11,M-H,1,1,-1.007276,negative,S,NA,H1
12,2M-2H+NH4,2,1,16.019271,negative,S,N1H4,H2
13,3M-2H+NH4,3,1,16.019271,negative,S,N1H4,H2
14,M-2H+NH4,1,1,16.019271,negative,S,N1H4,H2
15,2M-2H+Na,2,1,20.974666,negative,S,Na1,H2
16,3M-2H+Na,3,1,20.974666,negative,S,Na1,H2
17,M-2H+Na,1,1,20.974666,negative,S,Na1,H2
18,M+Na-2H,1,1,20.974666,negative,S,Na1,H2
19,2M-H+Cl,2,2,33.962126,negative,S,Cl1,H1
20,3M-H+Cl,3,2,33.962126,negative,S,Cl1,H1
21,M-H+Cl,1,2,33.962126,negative,S,Cl1,H1
22,2M+Cl,2,1,34.969402,negative,S,Cl1,NA
23,3M+Cl,3,1,34.969402,negative,S,Cl1,NA
24,M+Cl,1,1,34.969402,negative,S,Cl1,NA
25,2M-2H+K,2,1,36.948606,negative,S,K1,H2
26,3M-2H+K,3,1,36.948606,negative,S,K1,H2
27,M-2H+K,1,1,36.948606,negative,S,K1,H2
28,M+K-2H,1,1,36.948606,negative,S,K1,H2
29,M-H+HCOOH,1,1,44.998194,negative,Formic Acid,H2C1O2,H1
30,2M+HCOOH-H,2,1,44.998201,negative,Formic Acid,H2C1O2,H1
31,2M+Hac-H,2,1,59.013851,negative,Acetic Acid,C2H4O2,H1
32,M+Hac-H,1,1,59.013851,negative,Acetic Acid,C2H4O2,H1
33,M-H+NaCOOH,1,1,66.980151,negative,Sodium Formate,Na1C1H1O2,H1
34,2M+2Cl,2,2,69.938804,negative,S,Cl2,NA
35,3M+2Cl,3,2,69.938804,negative,S,Cl2,NA
36,M+2Cl,1,2,69.938804,negative,S,Cl2,NA
