mz,time,FS__blank11_pos,FS__blank15_pos,FS__blank7_pos,FS_CalCurve_blank2_pos,FS_CalCurve_blank3_pos,FS__BaldegerseeA_pos,FS__BaldegerseeB_pos,FS__Greifensee072A_pos,FS__Greifensee072B_pos,FS__Greifensee082A_pos,FS__Greifensee082B_pos,FS__Greifensee092A_pos,FS__Greifensee092B_pos,FS_CalCurve_AnaA_05_pos,FS_CalCurve_calmix_00005_pos,FS_CalCurve_calmix_0001_pos,FS_CalCurve_calmix_0005_pos,FS_CalCurve_calmix_001_pos,FS_CalCurve_calmix_005_pos,FS_CalCurve_calmix_00625_pos,FS_CalCurve_calmix_0125_pos,FS_CalCurve_calmix_025_pos,FS_CalCurve_CyanoA_05_pos,FS_CalCurve_MC_05_pos,FS_CalCuve_calmix_0025_pos
800.346377,382.6496928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83464.66858,NA
800.3662644,354.5351066,NA,NA,NA,NA,NA,823717.7035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38572.06226,NA,241055.9828,NA,NA,NA,NA
800.4554859,1013.328428,NA,NA,NA,NA,NA,129703.9048,NA,NA,NA,NA,NA,NA,400958.4549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
800.5947092,1073.898842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100872.8837,174745.1691,125203.4974,NA,NA,NA,NA,92935.58558,263057.5074,181995.3625,NA
801.3321094,693.263652,NA,NA,NA,NA,NA,NA,NA,NA,NA,891304.4152,2681457.883,12318162.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
801.3781936,342.1719895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55428.2746,NA,NA,NA,NA,973721.4198,NA
801.5421375,1561.64492,NA,NA,NA,NA,NA,NA,349147.7735,NA,NA,NA,NA,NA,NA,NA,1393254.36,1296032.48,443223.2474,391513.2558,NA,350796.843,367930.3187,NA,NA,NA,NA
801.6287721,1011.643735,NA,NA,NA,NA,NA,2271137.641,9554346.817,NA,NA,2081922.96,NA,4391334.481,4631642.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
802.3622786,367.4607094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132170.7289,NA,NA,NA,1207497.034,NA
802.3694217,959.6240146,NA,NA,NA,NA,NA,NA,NA,3596808.127,5310428.842,NA,NA,6667737.202,7498426.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
802.4365227,636.984084,NA,NA,NA,NA,NA,34177033.12,2378983.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
802.4756337,266.82956,NA,NA,NA,NA,NA,NA,NA,572860.9411,NA,513446.1223,313871.7524,252298.2228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
802.5102967,1014.692113,NA,NA,NA,NA,NA,NA,NA,523646.597,NA,NA,NA,NA,NA,85885.83987,NA,NA,NA,NA,NA,NA,NA,143400.0526,235523.8558,NA,NA
802.6106308,1162.063914,NA,NA,NA,NA,NA,1013789.461,NA,2465453.53,NA,NA,582670.2297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
802.6319576,1011.643735,NA,NA,NA,NA,NA,NA,4901199.693,200754.6053,318516.9182,833169.6507,NA,NA,2573349.177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
803.3714841,960.2300897,NA,NA,NA,NA,NA,NA,NA,2500549.866,NA,NA,NA,6062289.938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
803.5033563,1002.727722,NA,NA,NA,NA,NA,NA,245779.055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98275.83512,NA,NA
803.5830238,1089.220404,NA,NA,NA,NA,NA,NA,NA,191138.4017,284721.9158,NA,169386.5818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112108.5652,NA,NA
804.286616,288.8810796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80965.34377,104182.9479,NA,NA,297841.2002,NA
804.4142194,967.202888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4843676.394,8426505.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
804.4183792,390.6500984,NA,NA,NA,NA,NA,NA,NA,NA,NA,3988474.187,6417185.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
804.6044491,1028.35237,NA,NA,NA,95385.30806,NA,NA,NA,NA,NA,NA,269761.0074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552783.0654
805.0976805,917.7493863,NA,NA,NA,NA,NA,NA,NA,NA,NA,418577.8546,NA,NA,226483.4965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
805.2650178,1112.847104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221933.4979,NA,NA,NA,NA,NA,NA,NA,NA,222419.3614,NA,NA
